# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1876
#@/user_id	b27ec516-66b5-4d3a-8381-90fbb5a546e0
a1 	啊	c=1 d=1.16141 t=1786
tai4 shi4 	態勢	c=0 d=0.1 t=1646
tai4 xiao3 	太小	c=1 d=1 t=1663
tan2 de5 	談得	c=0 d=0.1 t=1222
tao2 bao3 	淘寶	c=2 d=1.99501 t=1439
tao3 lun4 	討論	c=0 d=0.100078 t=1739
tao3 lun4 de5 	討論的	c=1 d=1 t=189
tao4 yong4 	套用	c=0 d=0.1 t=1033
tao4 yong4 bie2 ren2 de5 dong1 xi1 	套用別人的東西	c=1 d=1 t=1034
te4 zhi2 	特質	c=0 d=0.1 t=916
ti2 dao4 	提到	c=0 d=0.1 t=876
tian1 	天	c=2 d=2.05609 t=577
tian1 qi4 	天氣	c=1 d=1 t=551
tian1 ying1 	天英	c=6 d=1.6136 t=1541
tian1 ying1 jia1 	天英家	c=1 d=1 t=290
tian1 ying1 yao4 ai4 wo3 	天英要愛我	c=1 d=1 t=624
tian2 	田	c=1 d=1 t=449
tie1 	貼	c=0 d=0.1 t=1178
tie1 gei3 ni3 de5 liang3 ge5 ren2 le5 ma5 	貼給你的兩個人了嗎	c=1 d=1 t=1179
tie1 xin1 	貼心	c=1 d=0.926959 t=695
ting1 	廳	c=1 d=1 t=1369
ting1 	聽	c=0 d=0.1 t=1367
ting1 bi3 jiao4 	聽比較	c=1 d=1 t=1368
tong1 zhi1 	通知	c=0 d=0.1 t=371
tong2 shi2 	同時	c=1 d=1 t=1284
tong2 xue2 	同學	c=1 d=0.217987 t=1782
tong2 yi4 	同意	c=0 d=0.102006 t=1422
tong2 yi4 de5 hua4 	同意的話	c=1 d=1 t=500
tong3 ji4 	統計	c=1 d=1.19264 t=1319
tong3 ji4 liang4 	統計量	c=1 d=1 t=1312
tong3 ji4 xue2 	統計學	c=0 d=0.1 t=1313
tong3 ji4 zuo4 ye4 	統計作業	c=1 d=1 t=1313
tou2 hun1 yan3 hua1 	頭昏眼花	c=0 d=0.1 t=232
tou2 hun1 yan3 hua1 xia4 hai2 ke3 yi3 gei3 chu1 zhe4 zhong3 	頭昏眼花下還可以給出這種	c=1 d=1 t=233
tou4 guo4 	透過	c=1 d=1 t=123
tu2 shu1 guan3 	圖書館	c=0 d=0.1 t=975
tui1 jian4 	推薦	c=1 d=1.00262 t=1512
tui1 jian4 de5 	推薦的	c=3 d=1.20445 t=1777
tui1 na2 	推拿	c=1 d=0.712626 t=463
tui1 na2 o1 	推拿噢	c=1 d=1 t=464
tui3 tui3 	腿腿	c=3 d=1.80709 t=1585
tui4 fei4 	退費	c=0 d=0.1 t=515
wa1 	哇	c=19 d=4.16978 t=1506
wa1 hao3 bang4 	哇好棒	c=1 d=0.104677 t=1120
wa1 hao3 bang4 o1 	哇好棒噢	c=1 d=1 t=1121
wa1 tian1 ying1 	哇天英	c=1 d=1 t=1160
wa1 xiang3 tian1 ying1 le5 	哇想天英了	c=1 d=1 t=316
wa3 cheng2 	瓦城	c=0 d=0.1 t=972
wa3 cheng2 de5 	瓦城的	c=1 d=1 t=973
wa3 er3 de2 	瓦爾德	c=1 d=1 t=1318
wai4 guan1 	外觀	c=0 d=0.1 t=1850
wan2 	完	c=0 d=0.109027 t=1016
wan2 quan2 	完全	c=3 d=1.21715 t=1764
wan2 quan2 dou1 mei2 you3 jie1 chu4 guo4 	完全都沒有接觸過	c=1 d=1 t=1733
wan2 quan2 jiu4 shi4 yi1 ge5 	完全就是一個	c=1 d=1 t=530
wan2 quan2 mei2 xiu1 guo4 	完全沒羞過	c=1 d=1 t=1724
wan2 quan2 mei2 you3 	完全沒有	c=0 d=0.1 t=1734
wan2 quan2 shi4 	完全是	c=1 d=1 t=1635
wan2 quan2 wu2 fa3 li3 jie3 	完全無法理解	c=1 d=1 t=649
wan3 	晚	c=0 d=0.258642 t=426
wan3 an1 	晚安	c=1 d=1 t=1427
wan3 shang4 	晚上	c=2 d=1.0713 t=983
wan3 shang4 liu4 dian3 	晚上六點	c=1 d=1 t=427
wang2 	王	c=1 d=1 t=819
wang3 lu4 	網路	c=0 d=0.1 t=1184
wang3 lu4 pa2 chong2 	網路爬蟲	c=3 d=1.52948 t=1341
wang3 lu4 pa2 chong2 ne5 	網路爬蟲呢	c=1 d=1 t=1342
wang3 zhan4 	網站	c=0 d=0.107502 t=1646
wang3 zhan4 shang4 xie3 de5 hao3 xiang4 jiu4 bu2 tai4 shi4 zhe4 yang4 	網站上寫的好像就不態勢這樣	c=1 d=1 t=1647
wang4 le5 	忘了	c=0 d=0.145425 t=358
wang4 le5 guan1 	忘了關	c=1 d=1 t=67
wei2 ji1 	維基	c=2 d=1.00571 t=1567
wei4 lai2 	未來	c=0 d=0.1 t=1214
wei4 shen2 me5 	爲什麼	c=2 d=0.739416 t=1302
wei4 shen2 me5 bu2 kan4 	爲什麼不看	c=1 d=1 t=275
wei4 shen2 me5 yao4 fen1 xiang3 	爲什麼要分享	c=1 d=1 t=271
wei4 zhi4 	位置	c=1 d=1 t=1706
wen2 zhang1 	文章	c=1 d=1 t=796
wen4 	問	c=1 d=1.03906 t=1524
wen4 guo4 	問過	c=0 d=0.1 t=392
wen4 guo4 xiao3 bo2 le5 	問過小薄了	c=1 d=1 t=393
wen4 ni3 	問你	c=0 d=0.136992 t=1461
wen4 ni3 you3 guan1 	問你有關	c=1 d=1 t=1462
wen4 shuo1 	問說	c=2 d=0.195523 t=1835
wen4 ti2 	問題	c=1 d=0.12123 t=1817
wen4 wen4 kan4 	問問看	c=0 d=0.128938 t=296
wen4 yi1 xia4 	問一下	c=0 d=0.1 t=1663
wo3 	我	c=7 d=1.18662 t=1876
wo3 ba3 	我把	c=1 d=1 t=74
wo3 bu4 zhi1 dao4 	我不知道	c=2 d=1.61263 t=1547
wo3 chao1 ai4 	我超愛	c=1 d=1 t=646
wo3 da1 bu2 shang4 	我搭不上	c=1 d=1 t=1689
wo3 da4 gai4 	我大概	c=1 d=1 t=580
wo3 de5 	我的	c=2 d=0.366404 t=1755
wo3 de5 dian3 	我的點	c=1 d=1 t=1756
wo3 de5 hua4 wo3 	我的話我	c=1 d=1 t=1361
wo3 di2 que4 xu1 yao4 duo1 si1 kao3 	我的確需要多思考	c=1 d=1 t=283
wo3 dou1 	我都	c=0 d=0.152729 t=276
wo3 dou1 ba3 	我都把	c=1 d=1 t=277
wo3 dou1 jue2 de5 	我都覺得	c=1 d=1 t=149
wo3 dui4 	我對	c=0 d=0.1 t=1004
wo3 dui4 ni3 	我對你	c=0 d=0.1 t=574
wo3 dui4 zhe4 ge5 hai2 bu2 shi4 hen3 shou2 	我對這個還不是很熟	c=1 d=1 t=1005
wo3 gang1 gang1 	我剛剛	c=2 d=1.08195 t=1861
wo3 gang1 gang1 bang1 ni3 zhao3 dao4 di4 er4 ge5 	我剛剛幫你找到第二個	c=1 d=1 t=1150
wo3 gang1 gang1 fa1 xian4 	我剛剛發現	c=1 d=1 t=1688
wo3 gang1 gang1 qu4 xi3 zao3 	我剛剛去洗澡	c=1 d=1 t=1265
wo3 gang1 gang1 que4 ren4 guo4 le5 	我剛剛確認過了	c=1 d=1 t=442
wo3 gang1 gang1 zai4 	我剛剛在	c=1 d=1 t=1561
wo3 ge4 ren2 	我個人	c=4 d=2.64406 t=1031
wo3 gei3 ni3 	我給你	c=0 d=0.1 t=561
wo3 gei3 ni3 huo4 wu4 zhi1 hou4 	我給你貨物之後	c=1 d=1 t=562
wo3 guo4 qu4 	我過去	c=1 d=1 t=1015
wo3 hai2 	我還	c=0 d=0.100328 t=1374
wo3 hai2 yi3 wei2 	我還以爲	c=1 d=1 t=1375
wo3 hai2 yi3 wei2 ni3 hui4 zai4 ji1 long2 	我還以爲你會在基隆	c=1 d=1 t=231
wo3 hai2 you3 	我還有	c=0 d=0.1 t=220
wo3 hai2 you3 tian1 ying1 	我還有天英	c=1 d=1 t=221
wo3 han4 	我和	c=1 d=1.01287 t=1703
wo3 han4 ni3 	我和你	c=0 d=0.1 t=139
wo3 han4 ta1 	我和她	c=1 d=1 t=1294
wo3 hao3 xiang4 	我好像	c=1 d=1 t=1200
wo3 hui4 	我會	c=1 d=0.918512 t=1876
wo3 hui4 dai4 wo3 nv3 peng2 you3 qian2 wang3 	我會帶我女朋友前往	c=1 d=1 t=443
wo3 jin1 tian1 	我今天	c=3 d=0.103466 t=1742
wo3 jin1 tian1 xia4 wu3 jiu4 bei4 ta1 	我今天下午就被她	c=1 d=1 t=1743
wo3 jing4 ran2 	我竟然	c=1 d=1 t=33
wo3 jiu4 	我就	c=0 d=0.1 t=1066
wo3 jiu4 bu4 	我就不	c=0 d=0.1 t=599
wo3 jue2 de5 	我覺得	c=3 d=0.465443 t=1876
wo3 jue2 de5 jiu4 ke3 yi3 le5 	我覺得就可以了	c=1 d=0.980199 t=1876
wo3 jue2 de5 ke3 yi3 a1 	我覺得可以阿	c=1 d=1 t=490
wo3 kan4 dao4 	我看到	c=0 d=0.1 t=1814
wo3 kan4 dao4 nin2 suo3 	我看到您所	c=1 d=1 t=1815
wo3 ke3 	我可	c=0 d=0.1 t=88
wo3 ke3 neng2 	我可能	c=2 d=1.25032 t=993
wo3 ke3 neng2 hui4 chi2 dao4 	我可能會遲到	c=1 d=1 t=1696
wo3 ke3 yi3 	我可以	c=2 d=0.287754 t=1802
wo3 ke3 yi3 ba3 xun4 xi2 	我可以把訊息	c=1 d=1 t=540
wo3 ke3 yi3 wen4 ni3 	我可以問你	c=1 d=1 t=820
wo3 ke3 yi3 zai4 dang1 bing1 qian2 han4 ni3 yi1 qi3 yan2 jiu4 	我可以在當兵前和你一起研究	c=1 d=1 t=1803
wo3 ke3 yi3 zi4 ji3 xian1 du2 	我可以自己先讀	c=1 d=1 t=1780
wo3 le5 	我了	c=0 d=0.0900325 t=1876
wo3 ma1 	我媽	c=1 d=0.20991 t=1290
wo3 ma1 shuo1 	我媽說	c=2 d=1.15803 t=1660
wo3 ma1 wen4 shuo1 	我媽問說	c=1 d=1 t=1278
wo3 ma5 	我嗎	c=0 d=0.1 t=436
wo3 mai4 dong1 xi1 gei3 ni3 	我賣東西給你	c=1 d=1 t=588
wo3 men5 	我們	c=0 d=0.171669 t=1805
wo3 men5 dou1 ke3 yi3 	我們都可以	c=1 d=1 t=458
wo3 men5 hui4 cong2 	我們會從	c=1 d=1 t=619
wo3 men5 jia1 de5 xiang1 cai4 	我們家的香菜	c=1 d=1 t=1292
wo3 men5 ke3 yi3 	我們可以	c=1 d=1 t=1806
wo3 men5 li3 ge5 	我們裏個	c=1 d=1 t=1348
wo3 men5 shi4 	我們是	c=1 d=1 t=970
wo3 neng2 	我能	c=0 d=0.1 t=583
wo3 neng2 rang4 ni3 	我能讓你	c=1 d=1 t=584
wo3 nv3 peng2 you3 	我女朋友	c=2 d=0.279876 t=1710
wo3 nv3 peng2 you3 liao2 yi1 liao2 	我女朋友聊醫療	c=1 d=1 t=902
wo3 qu4 	我去	c=2 d=0.207384 t=1692
wo3 shang4 	我上	c=0 d=0.1 t=1177
wo3 shang4 ci4 	我上次	c=1 d=1 t=1497
wo3 shang4 mian4 	我上面	c=1 d=1 t=1178
wo3 shi4 	我是	c=0 d=0.112003 t=806
wo3 shi4 ge5 lang4 man4 you4 ke3 kao4 de5 ren2 ma5 	我是個浪漫又可靠得人嗎	c=1 d=1 t=383
wo3 shi4 ni3 	我是你	c=0 d=0.1 t=559
wo3 shi4 ni3 de5 gong1 ying4 shang1 	我是你的供應商	c=1 d=1 t=560
wo3 shuo1 	我說	c=0 d=0.15248 t=728
wo3 suo3 you3 	我所有	c=1 d=1 t=1486
wo3 xian1 	我先	c=0 d=0.119232 t=1260
wo3 xian1 qu4 dao4 le4 se4 luo1 	我先去倒垃圾囉	c=1 d=1 t=1261
wo3 xian1 qu4 xi3 zao3 	我先去洗澡	c=1 d=1 t=202
wo3 xian4 zai4 	我現在	c=2 d=1.03143 t=1481
wo3 xiang3 	我想	c=0 d=0.191851 t=313
wo3 xiang3 shui4 jiao4 le5 ha1 ha1 	我想睡覺了哈哈	c=1 d=1 t=314
wo3 xiang3 shuo1 	我想說	c=0 d=0.1 t=1692
wo3 xiang3 wen4 wen4 kan4 	我想問問看	c=1 d=1 t=297
wo3 xiang3 yao4 	我想要	c=1 d=1.0522 t=1466
wo3 xiang3 yao4 wen4 ni3 shuo1 	我想要問你說	c=1 d=1 t=1337
wo3 xie3 xin4 wen4 wen4 kan4 	我寫信問問看	c=1 d=1 t=49
wo3 xu1 yao4 	我需要	c=1 d=1 t=978
wo3 xu1 yao4 bang1 mang2 	我需要幫忙	c=1 d=1 t=788
wo3 yan3 jing1 	我眼睛	c=1 d=1 t=1078
wo3 yao4 	我要	c=0 d=0.275903 t=1420
wo3 yao4 ai4 tian1 ying1 	我要愛天英	c=2 d=1.99501 t=623
wo3 yao4 bao4 bao4 	我要抱抱	c=1 d=1 t=1380
wo3 yao4 xian1 shui4 jiao4 le5 	我要先睡覺了	c=1 d=1 t=1403
wo3 yao4 zi4 ji3 qu4 chi1 fan4 ma5 	我要自己去吃飯嗎	c=1 d=1 t=537
wo3 ye3 	我也	c=0 d=0.154368 t=1450
wo3 ye3 ba3 ni3 de5 lian3 shu1 gei3 ta1 o1 	我也把你的臉書給他噢	c=1 d=1 t=1157
wo3 ye3 hai2 shi4 bu4 zhi1 dao4 	我也還是不知道	c=1 d=1 t=1451
wo3 ye3 jue2 de5 	我也覺得	c=2 d=1.00482 t=1258
wo3 ye3 mei2 ba3 wo4 ha1 ha1 	我也沒把握哈哈	c=1 d=1 t=1218
wo3 ye3 shi4 	我也是	c=1 d=1 t=984
wo3 yi1 	我一	c=0 d=0.1 t=1472
wo3 yi1 ding4 yao4 	我一定要	c=1 d=1 t=1473
wo3 yi3 jing1 bi4 ye4 le5 	我已經畢業了	c=1 d=1 t=239
wo3 ying1 gai1 	我應該	c=3 d=0.11346 t=1568
wo3 ying1 gai1 hui4 guo4 qu4 	我應該會過去	c=1 d=1 t=480
wo3 ying1 gai1 yao4 an1 zhuang1 	我應該要安裝	c=1 d=1 t=1569
wo3 zai4 	我在	c=1 d=1 t=975
wo3 zao3 dian3 	我早點	c=1 d=0.937067 t=1876
wo3 zhao3 zhao3 kan4 	我找找看	c=1 d=1 t=1549
wo3 zhe4 ji3 tian1 	我這幾天	c=1 d=1 t=357
wo3 zhi1 	我知	c=0 d=0.1 t=1653
wo3 zhi1 qian2 	我之前	c=2 d=1.04929 t=1478
wo3 zhi3 neng2 	我只能	c=1 d=1 t=301
wo3 zhi3 you3 	我只有	c=0 d=0.1 t=1482
wo3 zi4 ji3 	我自己	c=7 d=1.26731 t=1110
wo3 zi4 ji3 chao1 fei4 de5 	我自己超廢地	c=1 d=1 t=150
wo3 zi4 ji3 dou1 mei2 you3 fa1 xian4 	我自己都沒有發現	c=1 d=1 t=237
wu1 	屋	c=0 d=0.1 t=923
wu1 o2 	屋哦	c=1 d=1 t=1452
wu2 fa3 	無法	c=0 d=0.124051 t=648
wu2 fa3 qian2 qu4 	無法前去	c=1 d=1 t=364
wu2 liao2 	無聊	c=0 d=0.1 t=765
wu2 liao2 de5 	無聊的	c=1 d=1 t=766
wu2 xiao4 	無效	c=0 d=0.1 t=401
wu2 xiao4 de5 ba1 jin4 wei4 shu4 zi4 	無效的八進位數字	c=1 d=1 t=402
wu3 	五	c=1 d=1 t=341
wu3 can1 	午餐	c=0 d=0.1 t=855
wu3 ge5 ren2 	五個人	c=1 d=1 t=147
wu4 	物	c=0 d=0.1 t=1460
xi1 wang4 	希望	c=4 d=0.0923116 t=1876
xi1 wang4 xi1 wang4 	希望希望	c=1 d=1 t=1632
xi1 ya4 	西亞	c=0 d=0.1 t=1863
xi2 guan4 	習慣	c=0 d=0.1 t=186
xi3 huan1 	喜歡	c=2 d=0.67961 t=1194
xi3 huan1 zi1 gong1 	喜歡資工	c=1 d=1 t=1195
xi3 zao3 	洗澡	c=0 d=0.145306 t=1425
xi4 	系	c=2 d=1.91094 t=912
xi4 de5 ren2 	系的人	c=1 d=1 t=913
xi4 lie4 	系列	c=3 d=2.27266 t=1842
xi4 tong3 	系統	c=1 d=1.00963 t=1555
xi4 tong3 gei3 	系統給	c=1 d=1 t=1088
xi4 tong3 guan3 li3 	系統管理	c=1 d=1 t=1007
xia4 	下	c=0 d=0.139026 t=1007
xia4 ban1 	下班	c=0 d=0.1 t=80
xia4 ban1 hou4 	下班後	c=1 d=1 t=81
xia4 ke4 	下課	c=0 d=0.1 t=209
xia4 li3 bai4 liu4 	下禮拜六	c=1 d=1 t=430
xia4 li3 bai4 yi1 	下禮拜一	c=2 d=1.9802 t=461
xia4 si3 	嚇死	c=0 d=0.1 t=56
xia4 si3 wo3 	嚇死我	c=1 d=1 t=57
xia4 wu3 	下午	c=2 d=0.188714 t=1742
xia4 wu3 de5 ke4 bu2 yao4 	下午的課不要	c=1 d=1 t=507
xia4 xing1 qi2 liu4 	下星期六	c=1 d=1 t=1008
xia4 zai3 	下載	c=1 d=1.09501 t=1576
xian1 	先	c=2 d=0.141132 t=1402
xian1 ba3 	先把	c=1 d=1 t=1475
xian1 du2 	先讀	c=0 d=0.1 t=1779
xian1 qu4 	先去	c=0 d=0.1 t=1700
xian4 bing1 	憲兵	c=0 d=0.1 t=1789
xian4 bing1 xue2 xiao4 	憲兵學校	c=1 d=1 t=1790
xian4 zai4 	現在	c=4 d=0.299748 t=1787
xian4 zai4 wo3 da3 guo4 qu4 ma5 	現在我打過去嗎	c=1 d=1 t=1788
xian4 zai4 wo3 zhi3 you3 ban4 fa3 	現在我只有辦法	c=1 d=1 t=1483
xian4 zai4 zheng4 zai4 zhuang1 	現在正在裝	c=1 d=1 t=1551
xiang1 cai4 	香菜	c=1 d=1.09005 t=1291
xiang1 gang3 	香港	c=1 d=1 t=225
xiang3 	想	c=1 d=0.236666 t=1663
xiang3 chi1 nai3 zi5 le5 	想吃奶子了	c=1 d=1 t=1507
xiang3 fa3 	想法	c=0 d=0.1 t=154
xiang3 guo4 	想過	c=0 d=0.1 t=1029
xiang3 hao3 	想好	c=0 d=0.1 t=1170
xiang3 jiang3 	想講	c=0 d=0.1 t=1377
xiang3 jiang3 hua4 	想講畫	c=1 d=1 t=1378
xiang3 ni3 le5 	想你了	c=0 d=0.1 t=1208
xiang3 nian4 	想念	c=0 d=0.1 t=896
xiang3 shuo1 	想說	c=2 d=1.50939 t=830
xiang3 tian1 ying1 le5 	想天英了	c=2 d=1.20805 t=1434
xiang3 wen4 yi1 xia4 	想問一下	c=1 d=1 t=1664
xiang3 xiang3 kan4 	想想看	c=0 d=0.1 t=1262
xiang3 yao4 	想要	c=3 d=0.218224 t=1835
xiang3 yao4 qing3 jiao4 	想要請教	c=1 d=1 t=1819
xiang3 yao4 wo3 qu4 zhao3 ni3 de5 hua4 	想要我去找你的話	c=1 d=1 t=727
xiang3 yi1 xiang3 	想一想	c=0 d=0.1 t=1617
xiang4 	像	c=1 d=0.848264 t=215
xiang4 shi4 	像是	c=1 d=0.975952 t=1650
xiang4 shi4 zhe4 ge5 	像是這個	c=2 d=1.99501 t=1051
xiang4 shi4 zhe4 zhong3 	像是這種	c=1 d=1 t=1617
xiang4 wo3 	像我	c=2 d=1.05004 t=797
xiao1 fei4 zhe3 	消費者	c=0 d=0.1 t=593
xiao1 shi1 	消失	c=0 d=0.1 t=1570
xiao1 shi1 le5 	消失了	c=1 d=1 t=1571
xiao1 xi2 	消息	c=0 d=0.1 t=1643
xiao3 	小	c=0 d=0.100625 t=1083
xiao3 bo2 	小薄	c=4 d=1.2418 t=1277
xiao3 huai4 huai4 	小壞壞	c=1 d=1 t=69
xiao3 ruan3 ti3 	小軟體	c=1 d=1 t=1084
xiao3 shi2 	小時	c=0 d=0.1 t=1395
xiao4 	校	c=0 d=0.1 t=103
xiao4 	笑	c=0 d=0.1 t=237
xiao4 de5 	笑得	c=0 d=0.1 t=548
xiao4 hua4 	笑話	c=0 d=0.1 t=1751
xie2 	斜	c=1 d=1 t=1335
xie3 	寫	c=1 d=0.345757 t=1127
xie3 chu1 lai2 	寫出來	c=0 d=0.1 t=804
xie3 chu1 lai2 de5 	寫出來的	c=1 d=1 t=805
xie3 guo4 	寫過	c=0 d=0.1 t=1080
xie3 lun4 wen2 	寫論文	c=0 d=0.1 t=772
xie3 lun4 wen2 de5 shi2 hou4 	寫論文的時候	c=1 d=1 t=773
xie3 shuo1 	寫說	c=1 d=1 t=1828
xie3 xin4 	寫信	c=0 d=0.167368 t=127
xie3 xin4 qu4 wen4 yi1 ge5 	寫信去問一個	c=1 d=1 t=128
xie4 xie4 	泄瀉	c=1 d=1 t=1852
xie4 xie5 	謝謝	c=2 d=1.19989 t=1853
xin1 	新	c=0 d=0.1 t=1085
xin1 	欣	c=1 d=1 t=1244
xin1 ban3 	新版	c=0 d=0.1 t=706
xin1 ban3 de5 	新版的	c=1 d=1 t=707
xin1 dian4 	新店	c=2 d=1.94766 t=1365
xin1 dong4 	心動	c=0 d=0.1 t=1816
xin1 zhu2 	新竹	c=0 d=0.1 t=321
xin4 	信	c=1 d=1 t=75
xing1 qi2 er4 	星期二	c=1 d=1.03707 t=342
xing1 qi2 liu4 	星期六	c=1 d=1.09031 t=1620
xing1 qi2 liu4 de5 na4 ge5 zi1 gong1 	星期六的那個資工	c=1 d=1 t=1590
xing1 qi2 san1 	星期三	c=1 d=1 t=345
xing1 qi2 yi1 	星期一	c=1 d=0.107559 t=1298
xing1 qi2 yi1 de5 	星期一的	c=1 d=1 t=1299
xing2 de5 	行得	c=0 d=0.1 t=1486
xing2 wei2 	行爲	c=1 d=1 t=503
xing2 zheng4 	行政	c=1 d=1 t=514
xing3 lai2 	醒來	c=1 d=1.03946 t=658
xing4 qu4 	興趣	c=1 d=0.574734 t=849
xing4 xiang4 ce4 yan4 	性向測驗	c=1 d=1 t=1193
xiong1 bu4 	胸部	c=1 d=1 t=655
xiong2 	熊	c=0 d=0.1 t=1145
xiu1 	修	c=1 d=1.09106 t=1727
xiu1 hao3 	修好	c=0 d=0.1 t=1446
xiu1 mian2 	休眠	c=0 d=0.1 t=1445
xiu1 mian2 gong1 neng2 	休眠功能	c=1 d=1 t=1446
xiu1 xue2 	休學	c=0 d=0.1 t=1171
xu1 yao4 	需要	c=1 d=0.0927743 t=1876
xu1 yao4 a1 	需要阿	c=1 d=1 t=1659
xu1 yao4 de5 tong2 xue2 le5 	需要的同學了	c=1 d=1 t=1184
xu1 yao4 dui4 	需要對	c=1 d=1 t=908
xu1 yao4 si1 kao3 zheng1 zha2 	需要思考掙扎	c=1 d=1 t=117
xu4 dian4 	蓄電	c=0 d=0.1 t=1824
xu4 hang2 li4 	續航力	c=1 d=1 t=1538
xuan3 	選	c=0 d=0.105872 t=1490
xuan3 chu1 	選出	c=1 d=1 t=1474
xuan3 ke4 	選課	c=0 d=0.1 t=1734
xuan3 ke4 de5 shi2 hou4 ye3 wan2 quan2 mei2 you3 	選課的時候也完全沒有	c=1 d=1 t=1735
xuan3 qi3 lai2 	選起來	c=1 d=1 t=1491
xuan3 zi1 gong1 wu1 eng5 	選資工屋嗯	c=1 d=1 t=924
xue2 	學	c=0 d=0.185214 t=1371
xue2 dao4 	學到	c=0 d=0.1 t=191
xue2 dao4 man2 duo1 de5 	學到蠻多的	c=1 d=1 t=192
xue2 dian3 	學點	c=0 d=0.1 t=767
xue2 fei4 	學費	c=1 d=1.03312 t=1869
xue2 sheng1 	學生	c=0 d=0.100049 t=1651
xue2 sheng1 de5 yang4 zi5 	學生的樣子	c=1 d=1 t=1652
xue2 xiao4 	學校	c=0 d=0.1 t=1789
xun4 xi2 	訊息	c=0 d=0.103633 t=1202
ya5 	呀	c=0 d=0.1 t=688
yan2 jiu4 	研究	c=0 d=0.197531 t=1807
yan2 zhong4 	嚴重	c=0 d=0.0951229 t=1876
yan3 jing1 	眼睛	c=0 d=0.1 t=1077
yan3 suan4 fa3 	演算法	c=0 d=0.1 t=1727
yang3 cheng2 	養成	c=0 d=0.1 t=141
yang4 	樣	c=1 d=1 t=667
yang4 zi5 	樣子	c=0 d=0.100182 t=1651
yao4 	要	c=2 d=0.837053 t=1773
yao4 bu2 yao4 	要不要	c=3 d=0.600176 t=1227
yao4 bu2 yao4 xiu1 xue2 le5 ne5 	要不要休學了呢	c=1 d=1 t=1172
yao4 deng3 	要等	c=0 d=0.1 t=973
yao4 fen1 xiang3 shen2 me5 	要分享什麼	c=1 d=1 t=269
yao4 lei4 si3 wo3 le5 	要類死我了	c=1 d=1 t=1242
yao4 qu4 	要去	c=0 d=0.1 t=1653
yao4 rou2 ruan3 	要柔軟	c=1 d=1 t=678
yao4 tou2 	藥頭	c=1 d=1 t=736
yao4 wen4 	要問	c=0 d=0.1 t=475
yao4 wen4 ni3 	要問你	c=1 d=1 t=476
yao4 wo3 	要我	c=1 d=1.0208 t=1553
yao4 wo3 wen4 ni3 	要我問你	c=1 d=1 t=1240
yao4 yi1 zhi2 chong2 fu4 zuo4 	要一直重複做	c=1 d=1 t=1596
yao4 yue1 	要約	c=0 d=0.1 t=731
yao4 zen3 me5 	要怎麼	c=0 d=0.103744 t=1500
yao4 zen3 me5 que4 ding4 	要怎麼確定	c=1 d=1 t=844
yao4 zhe4 yang4 de5 hua4 ye3 ke3 yi3 a1 	要這樣的話也可以啊	c=1 d=1 t=1774
yao4 zhi2 	要職	c=0 d=0.1 t=1486
yao4 zhi2 xing2 de5 	要職行得	c=1 d=1 t=1487
ye3 	也	c=0 d=0.115928 t=1734
ye3 bi3 	也比	c=0 d=0.1 t=1674
ye3 bi3 jiao4 pian2 yi2 	也比較便宜	c=1 d=1 t=1675
ye3 bu2 tai4 que4 ding4 	也不太確定	c=1 d=1 t=848
ye3 cha1 bu4 duo1 	也差不多	c=1 d=1 t=417
ye3 e3 yi3 	也噁以	c=1 d=1 t=1018
ye3 hai2 	也還	c=0 d=0.1 t=1227
ye3 jin3 liang4 	也儘量	c=1 d=1 t=745
ye3 ke3 yi3 	也可以	c=0 d=0.101984 t=1773
ye3 shi4 	也是	c=3 d=1.07616 t=1362
ye3 shi4 man2 kuai4 de5 	也是蠻快的	c=1 d=1 t=1022
ye3 yao4 	也要	c=0 d=0.1 t=1095
ye3 you3 	也有	c=0 d=0.1 t=1315
ye4 	葉	c=1 d=1 t=1245
yi1 	一	c=1 d=0.204056 t=1593
yi1 ban1 	一班	c=1 d=1.08479 t=1024
yi1 ban1 xiao1 fei4 zhe3 de5 hua4 	一般消費者的話	c=1 d=1 t=594
yi1 bi3 	一筆	c=0 d=0.1 t=1246
yi1 dian3 	一點	c=1 d=1 t=679
yi1 dian3 dian3 	一點點	c=1 d=1 t=1049
yi1 feng1 xin4 	一封信	c=0 d=0.1 t=1327
yi1 fu2 	一幅	c=0 d=0.1 t=476
yi1 fu5 	衣服	c=1 d=1 t=478
yi1 ge5 bu4 xiao3 xin1 jiu4 ba3 	一個不小新就把	c=1 d=1 t=1086
yi1 ge5 li3 bai4 qian2 	一個禮拜錢	c=1 d=1 t=1090
yi1 hang2 yi1 hang2 	一行一杭	c=1 d=1 t=1469
yi1 jia1 	一家	c=0 d=0.1 t=421
yi1 ke1 	一顆	c=1 d=1 t=825
yi1 ke1 	醫科	c=3 d=2.62673 t=895
yi1 kuan3 	一款	c=0 d=0.1 t=1854
yi1 liang3 ge5 xiao3 shi2 jiu4 hao3 le5 	一兩個小時就好了	c=1 d=1 t=1396
yi1 liao2 	醫療	c=0 d=0.1 t=901
yi1 nian2 ji2 	一年級	c=0 d=0.1 t=1731
yi1 nian2 ji2 de5 ke4 	一年級的課	c=1 d=1 t=1732
